,similarity_function,analyzer,hits@10,hits@5,hits@3,hits@1
0,bm25,stop-english_standard_analyzer,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
1,bm25,stemmer-porter2_standard_analyzer,0.9347826086956522,0.8641304347826086,0.7934782608695652,0.5815217391304348
2,dfr,stop-english_standard_analyzer,0.8695652173913043,0.8152173913043478,0.7445652173913043,0.5380434782608695
3,dfr,stemmer-porter2_standard_analyzer,0.8913043478260869,0.8369565217391305,0.7445652173913043,0.5163043478260869
4,dfi,stop-english_standard_analyzer,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6086956521739131
5,dfi,stemmer-porter2_standard_analyzer,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6086956521739131
6,ib,stop-english_standard_analyzer,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6086956521739131
7,ib,stemmer-porter2_standard_analyzer,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6086956521739131
8,lm_d,stop-english_standard_analyzer,0.9402173913043478,0.8804347826086957,0.7934782608695652,0.592391304347826
9,lm_d,stemmer-porter2_standard_analyzer,0.9402173913043478,0.875,0.8097826086956522,0.5869565217391305
10,lm_jm,stop-english_standard_analyzer,0.875,0.782608695652174,0.7119565217391305,0.5108695652173914
11,lm_jm,stemmer-porter2_standard_analyzer,0.8967391304347826,0.8260869565217391,0.7391304347826086,0.5217391304347826
12,tfidf,stop-english_standard_analyzer,0.9184782608695652,0.8478260869565217,0.7880434782608695,0.5706521739130435
13,tfidf,stemmer-porter2_standard_analyzer,0.9456521739130435,0.9021739130434783,0.7989130434782609,0.5434782608695652
